,loss
0,13.360352554460512
1,8.269818463130054
2,7.2831577023115806
3,6.972814496483179
4,6.785067303939725
5,6.599915789058541
6,6.482285834777763
7,6.365801467445712
8,6.245864962942476
9,6.170956770936001
10,6.09131473118773
11,6.033389717189868
12,5.969641938763746
13,5.941732565651176
14,5.896012966181709
15,5.854871689101942
16,5.810905488671245
17,5.78508598974486
18,5.7550227739782835
19,5.728889897189603
20,5.365114907550204
21,5.2932765362369025
22,5.2661293737447945
23,5.279803926018393
24,5.256532676660331
25,5.343778096946182
26,5.330959408146561
27,5.311045718041195
28,5.312636468061216
29,5.31549395421508
30,5.409088684495088
31,5.385924920914279
32,5.381429934957225
33,5.365953946569164
34,5.351098742454675
35,5.509647550096937
36,5.511100173755816
37,5.483583198231496
38,5.483095888878889
39,5.4721145569139225
40,5.598929787897001
41,5.586771421371751
42,5.559525918049418
43,5.528843946517653
44,5.535682058638068
45,5.501096172697225
46,5.461600716706294
47,5.389679977088977
48,5.384397101250424
49,5.352367461866634
50,5.360250688662195
51,5.348336553877326
52,5.344067564435825
53,5.316839134617216
54,5.272389582008313
55,5.310261714230677
56,5.318357494985982
57,5.284961363312545
58,5.278511782360685
59,5.271990015248584
60,5.297543733742587
61,5.317743564107616
62,5.306163273039897
63,5.28343072666484
64,5.29162064023838
