,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
0,Cn1c(=O)c2c(ncn2CC(=O)Nc2cccc3ccccc23)n(C)c1=O,*n1cnc2c1c(=O)n(C)c(=O)n2C *CC(=O)Nc1cccc2ccccc12,2,19,0,5,3,0,20,10,0,0,0,1,3,1.2256,102.79270000000004,0.599715197635,2.168047621757049,90.92,-7.3,0
83,Cn1c(=O)c2c(nc(N3CCCCC3)n2CC[NH+]=C2CCCN2)n(C)c1=O,*c1nc2c(c(=O)n(C)c(=O)n2C)n1CC[NH+]=C1CCCN1 *N1CCCCC1,2,18,0,7,2,0,25,5,0,0,0,2,2,-1.7135,104.35240000000006,0.7056280686390001,3.4702398479519068,91.06,-8.2,0
82,CCC(=O)NC(=S)NNC(=O)Cc1ccccc1,*C(=O)CC *NC(=S)NNC(=O)Cc1ccccc1,2,12,0,3,2,1,12,6,0,0,0,0,1,0.6609999999999999,72.45610000000003,0.564498093108,1.9285652721457591,70.23,-6.5,0
81,COCC[NH2+]CC(=O)N1CCOCC1C(=O)[O-],*CCOC *[NH2+]CC(=O)N1CCOCC1C(=O)[O-],2,10,0,2,5,0,15,2,0,0,0,0,1,-3.8265,54.86240000000003,0.482234627983,4.5465035316469855,95.51,-5.3,0
80,COc1ccc(CNC(=O)CN2CCN(CCO)CC2)cc1,*c1ccc(OC)cc1 *CNC(=O)CN1CCN(CCO)CC1,2,16,0,3,3,0,19,4,0,0,0,0,2,-0.0787,84.80650000000004,0.7600423828380001,1.7635607198241186,65.04,-5.9,0
79,O=C(CSc1ccccc1)NNC(=O)c1ccccc1,*CC(=O)NNC(=O)c1ccccc1 *Sc1ccccc1,2,15,0,2,2,1,13,8,0,0,0,0,2,2.2399,79.21690000000004,0.6708253743110001,1.6249823736407727,58.2,-6.4,0
78,COc1ccc(CC(=O)NNC(=O)Nc2ccccc2)cc1,*c1ccc(OC)cc1 *CC(=O)NNC(=O)Nc1ccccc1,2,16,0,3,3,0,15,8,0,0,0,0,2,2.0906,83.43710000000003,0.7594736281129999,1.6668134670768673,79.46000000000001,-6.9,0
77,NC(=O)COc1ccc(NC(=O)Cc2cccc(C(F)(F)F)c2)cc1,*CC(N)=O *Oc1ccc(*)cc1 *NC(=O)Cc1cccc(*)c1 *C(F)(F)F,4,17,3,2,3,0,18,8,0,0,0,0,2,2.7507,84.90910000000001,0.834235507174,1.8645167880161075,81.42000000000002,-7.4,0
76,COc1ccc(CC(=O)Nc2ccc(OC)cc2)cc1,*c1ccc(OC)cc1 *CC(=O)Nc1ccc(OC)cc1,2,16,0,1,3,0,14,7,0,0,0,0,2,2.885,78.32170000000004,0.90201271662,1.3856218682659325,47.56,-6.4,0
75,CC(=O)c1ccccc1S(=O)(=O)N1CCC(C(=O)[O-])CC1,*C(C)=O *c1ccccc1S(=O)(=O)N1CCC(C(=O)[O-])CC1,2,14,0,1,5,1,15,7,0,0,0,0,2,0.0398,72.93630000000003,0.7522910395260001,2.4621399767074728,94.58,-7.1,0
74,Cc1ccc(C(=O)Nc2cccc(NC(=O)C3CC3)c2)cc1,*c1ccc(C)cc1 *C(=O)Nc1cccc(NC(=O)C2CC2)c1,2,18,0,2,2,0,16,8,0,1,0,0,2,3.59582,86.92790000000002,0.88226604548,1.5262327864671532,58.2,-7.1,0
73,CCNC(=O)c1ccc(CNC(=O)C(=O)Nc2ccc(F)c(F)c2)cc1,*NCC *C(=O)c1ccc(CNC(=O)C(=O)Nc2ccc(F)c(F)c2)cc1,2,18,2,3,3,0,18,9,0,0,0,0,2,1.9694,91.2836,0.715685332916,1.8968679510021216,87.30000000000001,-7.3,0
72,COc1cccc(C(=O)N2CCN(C(=O)Cn3nnnc3C[NH+]3CCCC3)CC2)c1,*c1cccc(OC)c1 *CC(=O)N1CCN(C(*)=O)CC1 *n1nnnc1C[NH+]1CCCC1,3,20,0,7,3,0,26,7,0,0,0,2,2,-1.155,106.92920000000004,0.6751840285390001,3.260649099051188,97.89,-6.8,0
71,Cc1ccc(C(=O)NCCNC(=O)Cc2cc(C)on2)cc1,*c1ccc(C)cc1 *C(=O)NCCNC(*)=O *Cc1cc(C)on1,3,16,0,3,3,0,16,7,0,0,0,1,1,1.38014,81.46590000000003,0.797926700461,1.9598541264175269,84.23,-6.9,0
70,O=C(c1ccccc1)c1ccccc1C(=O)N1CCN(c2cnccn2)CC1,*C(=O)c1ccccc1C(=O)N1CCN(c2cnccn2)CC1 *c1ccccc1,2,22,0,4,2,0,20,11,0,0,0,0,4,2.67,106.46500000000005,0.656380415075,2.02954225385591,66.4,-8.4,0
69,Cn1ncc2c(=O)n(CC(=O)NCc3ccc4c(c3)OCO4)cnc21,*n1cnc2c(cnn2C)c1=O *CC(=O)NCc1ccc2c(c1)OCO2,2,16,0,5,4,0,20,8,0,0,0,2,2,0.1751,87.18070000000003,0.7447700000830001,2.314282005407412,100.27,-7.2,0
68,CN1C(=O)CC(CNC(=O)CCNC(=O)CC2=c3ccccc3=[NH+]C2)N(C)C1=O,*C1CC(=O)N(C)C(=O)N1C *CNC(=O)CCN* *C(=O)CC1=c2ccccc2=[NH+]C1,3,20,0,5,4,0,23,8,0,0,0,1,2,-3.1538,103.62010000000004,0.463990683883,3.989730385602977,112.79,-6.5,0
67,CS(=O)(=O)c1cccc(NS(=O)(=O)CCCC(=O)[O-])c1,*c1cccc(S(C)(=O)=O)c1 *NS(=O)(=O)CCCC(=O)[O-],2,11,0,1,6,2,12,8,0,0,0,0,1,-0.6381,71.20230000000002,0.743675880544,2.6190899608486227,120.44,-6.7,0
66,CC(=O)Nc1ccc(C(=O)COc2ccc(C(N)=O)cc2)cc1,*C(C)=O *Nc1ccc(C(=O)COc2ccc(C(N)=O)cc2)cc1,2,17,0,2,4,0,15,9,0,0,0,0,2,2.0056,85.53110000000002,0.801022111468,1.6925025133584484,98.49,-7.3,0
65,Cc1cccc(NC(=O)c2ccc(NC(N)=O)cc2)c1,*c1cccc(C)c1 *NC(=O)c1ccc(*)cc1 *NC(N)=O,3,15,0,3,2,0,13,8,0,0,0,0,2,2.73792,78.78030000000003,0.795910647725,1.537258377809021,84.22,-7.1,0
64,CNC(=O)c1ccc(CNS(=O)(=O)c2ccc(F)cc2F)cc1,*C(=O)NC *c1ccc(CNS(*)(=O)=O)cc1 *c1ccc(F)cc1F,3,15,2,2,3,1,15,9,0,0,0,0,2,1.8029,80.21570000000003,0.877636522914,1.9040958169298765,75.27000000000001,-7.0,0
63,O=C(NCCO)c1ccccc1C(=O)c1ccccc1,*C(=O)c1ccccc1C(=O)c1ccccc1 *NCCO,2,16,0,1,3,0,13,8,0,0,0,0,2,1.6397,75.73550000000003,0.817747883424,1.6328534472133,66.4,-6.8,0
62,O=C([O-])C1CC(=O)N(CCC2=c3ccccc3=[NH+]C2)C1,*C(=O)[O-] *C1CC(=O)N(CCC2=c3ccccc3=[NH+]C2)C1,2,15,0,2,3,0,16,6,0,0,0,2,1,-3.4604,68.34370000000004,0.630228788518,4.410688501938328,74.41,-6.5,0
61,COc1ccc(OC)c(CNC(=O)C2CCCN(C3[NH+]=c4ccccc4=[NH+]3)C2)c1,*c1cc(OC)ccc1OC *CNC(=O)C1CCCN(C2[NH+]=c3ccccc3=[NH+]2)C1,2,22,0,4,3,0,24,8,0,0,0,1,3,-2.5702,105.30110000000003,0.529371793618,3.828124036396628,78.74000000000001,-7.1,0
60,O=C1c2ccccc2-c2ccc(C(=O)N3CCC(C(=O)Nc4ccc5c(c4)OCO5)CC3)cc21,*c1ccc2c(c1)C(=O)c1ccccc1-2 *C(=O)N1CCC(C(=O)Nc2ccc3c(c2)OCO3)CC1,2,27,0,2,5,0,27,12,0,0,0,2,4,4.1176,125.1327,0.484432883316,2.232638435080359,84.94000000000001,-8.7,0
