,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
0,Cn1c(=O)c2c(ncn2CC(=O)Nc2cccc3ccccc23)n(C)c1=O,*n1cnc2c1c(=O)n(C)c(=O)n2C *CC(=O)Nc1cccc2ccccc12,2,19,0,5,3,0,20,10,0,0,0,1,3,1.2256,102.79270000000004,0.599715197635,2.168047621757049,90.92,-7.3,0
97,CC[NH2+]C(NC(=O)CC1C[NH2+]CCO1)C(=O)[O-],*N(CC(=O)[O-])C(=O)CC1C[NH2+]CCO1 *[NH2+]CC,2,10,0,3,4,0,15,2,0,0,0,0,1,-4.885799999999995,55.420500000000025,0.40782493038621476,5.854349039275637,111.68,-5.6,0
98,CC(N)C(=O)NCc1nnnn1-c1ccccc1,*NCC *C(=O)NCc1nnnn1-c1ccccc1,2,11,0,6,1,0,13,6,0,0,0,1,1,-0.37429999999999897,64.65010000000001,0.7662150738491639,2.4950967774542594,98.72,-6.8,0
99,CC(N)NC1=N[NH+]=CNC1C(=O)[O-],*NCC *NC1=N[NH+]=CNC1C(=O)[O-],2,6,0,5,2,0,10,3,0,0,0,0,1,-4.975199999999997,43.1775,0.32141395936098655,6.130314893906381,116.53999999999999,-5.6,0
100,CC(N)NC(=O)CN1CCN(c2ccc(C(N)=O)nn2)CC1,*NCC *NC(=O)CN1CCN(c2ccc(C(N)=O)nn2)CC1,2,13,0,7,2,0,18,5,0,0,0,0,2,-1.8815999999999973,80.99500000000002,0.5424924065845143,2.8990836790518912,130.47,-6.3,0
101,CC(N)C(=O)N1CCN(S(=O)(=O)N(C)C)CC1,*NCC *C(=O)N1CCN(S(=O)(=O)N(C)C)CC1,2,9,0,4,3,1,14,3,0,0,0,0,1,-1.7157999999999969,64.40920000000003,0.6569856535541237,2.700446925487187,86.95,-5.0,0
102,COC(=O)C1[NH+]=c2cccc(OC)c2=C1NC(=O)C(C)N,*NCC *C(=O)NC1=c2c(OC)cccc2=[NH+]C1C(=O)OC,2,14,0,3,4,0,16,6,0,0,0,1,1,-3.477799999999996,73.31380000000003,0.5000432823718153,4.355519203890164,104.61999999999999,-6.5,0
103,CC(N)=CC(=O)NNC(=O)Cc1ccc2ccccc2c1,*NCC *=CC(=O)NNC(=O)Cc1ccc2ccccc2c1,2,16,0,3,2,0,14,8,0,0,0,0,2,1.3922000000000005,81.88180000000003,0.5876882447084819,2.2255468798845826,84.22,-7.7,0
104,CC(N)NS(=O)(=O)c1ccc(C(=O)NCC(=O)[O-])cc1,*NCC *NS(=O)(=O)c1ccc(C(=O)NCC(=O)[O-])cc1,2,11,0,3,5,1,13,7,0,0,0,0,1,-2.2506999999999975,67.75310000000002,0.5066169001824221,3.0666130607955564,141.42,-6.1,0
105,CC(N)C(=O)NNC(=O)CNC(=O)c1ccccc1Cl,*NCC *C(=O)NNC(=O)CNC(=O)c1ccccc1Cl,2,12,0,4,3,1,14,6,0,0,0,0,1,-0.43559999999999954,73.72000000000003,0.564548036996861,2.390834250926181,113.32,-6.6,0
106,CC(N)C(=O)NCC(=O)Nc1cccc2cccnc12,*NCC *C(=O)NCC(=O)Nc1cccc2cccnc12,2,14,0,4,2,0,14,7,0,0,0,0,2,0.6366999999999994,77.03180000000002,0.760371275805597,2.383433426750356,97.11,-7.6,0
107,CC(N)SC1=Nc2ccccc2C2=NC(CC3=c4ccccc4=[NH+]C3)C(=O)N12,*NCC *SC1=Nc2ccccc2C2=NC(CC3=c4ccccc4=[NH+]C3)C(=O)N12,2,21,0,5,1,1,22,10,0,0,0,2,3,-0.36219999999999963,110.59810000000002,0.7021242761256221,4.566842102479631,85.02,-9.2,0
108,Cc1ccc2c(c1)C1(NC(CC3=c4ccccc4=[NH+]C3)C3C(=O)N(C(C)N)C(=O)C31)C(=O)N2,*NCC *N1C(=O)C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccc(C)cc43)C2C1=O,2,25,0,5,3,0,28,10,0,0,0,4,2,-2.0250799999999947,119.54250000000005,0.40767591322936697,5.376931207419396,118.5,-8.7,0
109,CC(N)C(=O)Nc1ccccc1C1[NH+]=c2ccccc2=[NH+]C1=O,*NCC *C(=O)Nc1ccccc1C1[NH+]=c2ccccc2=[NH+]C1=O,2,17,0,4,2,0,16,9,0,0,0,0,3,-3.345799999999997,82.29250000000002,0.47664052791718575,4.47642056353242,100.13,-6.7,0
110,CC(N)N1CCN(C(=O)c2ccc(=O)n(CCC(=O)[O-])n2)CC1,*NCC *N1CCN(C(=O)c2ccc(=O)n(CCC(=O)[O-])n2)CC1,2,14,0,5,4,0,19,5,0,0,0,0,2,-2.5541999999999963,79.24690000000002,0.6322354705190233,3.298256030706379,124.58999999999999,-7.2,0
111,CC(N)OCC(=O)NN=C1C(=O)NC(=O)NC1=O,*NCC *OCC(=O)NN=C1C(=O)NC(=O)NC1=O,2,8,0,5,5,0,13,5,0,0,0,0,1,-2.854099999999998,56.86050000000001,0.31387260782466025,3.4655838815266584,151.98,-5.9,0
96,CC[NH2+]C1(NC)N=c2c(=O)n(C)c(=O)n(C)c2=N1,*n1c(NC)nc2c1c(=O)n(C)c(=O)n2C *[NH2+]CC,2,10,0,6,2,0,15,4,0,0,0,1,1,-4.2491999999999965,63.493100000000005,0.5338537329489011,4.658199266142043,97.36,-6.0,0
112,CC(N)C(=O)NCCC(N)=O,*NCC *C(=O)NCCC(N)=O,2,6,0,3,2,0,8,2,0,0,0,0,0,-1.6747999999999994,40.470499999999994,0.4568462951012946,2.4643418687550493,98.21000000000001,-4.7,0
95,CC[NH2+]C(O)C(=O)NN=C1C(=O)NC(=O)NC1=O,*OCC(=O)NN=C1C(=O)NC(=O)NC1=O *[NH2+]CC,2,8,0,5,5,0,13,5,0,0,0,0,1,-4.273699999999997,55.73230000000001,0.2549506523620968,4.24049830460358,153.57,-5.9,0
93,CC[NH2+]C([NH2+])C(=O)N1CC(OC)CC1C(=O)[O-],*[NH2+]CC(=O)N1CC(OC)CC1C(=O)[O-] *[NH2+]CC,2,10,0,3,4,0,15,2,0,0,0,1,0,-4.710699999999995,54.101800000000026,0.47382037311101205,5.33478656983312,111.58000000000001,-5.3,0
78,O=C(NCC(=O)N1CCOCC1)c1ccccc1,*C(=O)c1ccccc1 *NCC(=O)N1CCOCC1,2,13,0,2,3,0,14,5,0,0,0,0,2,0.2752,66.17420000000003,0.8550937348630001,1.6559245975895465,58.64,-6.2,0
79,CNS(=O)(=O)c1ccc(CCC(=O)Nc2cccn(C)c2=O)cc1,*c1ccc(S(=O)(=O)NC)cc1 *CCC(=O)Nc1cccn(C)c1=O,2,16,0,3,4,1,16,9,0,0,0,0,2,0.8647,91.32120000000002,0.820895110518,2.070318118675333,97.26999999999998,-7.2,0
80,O=C(COc1cccc2ccccc12)NNC(=O)c1ccc(F)cc1,*CC(=O)NNC(=O)c1ccc(F)cc1 *Oc1cccc2ccccc12,2,19,1,2,3,0,17,10,0,0,0,0,3,2.8189,91.45190000000004,0.714230874618,1.7517993130997205,67.43,-7.5,0
81,COC(=O)c1ccc2c(c1)=[NH+]C(c1cn(CCC(=O)[O-])c3ccccc13)[NH+]=2,*C(=O)OC *Cn1cc(C2[NH+]=c3ccc(*)cc3=[NH+]2)c2ccccc21 *CC(=O)[O-],3,20,0,3,4,0,20,10,0,0,0,2,2,-3.3193,91.46590000000002,0.475059685676,4.343786675115021,99.3,-7.5,0
82,NC(=O)c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,*C(N)=O *c1noc(Cn2ccnc2-c2cccc3c2oc2ccccc23)n1,2,19,0,5,3,0,20,11,0,0,0,3,2,2.9797,96.8589,0.5224185365690001,2.6688694866676226,112.97,-9.4,0
