,smiles,fragments,n_fragments,C,F,N,O,Other,SINGLE,DOUBLE,TRIPLE,Tri,Quad,Pent,Hex,logP,mr,qed,SAS,tpsa,score,rank
0,Cn1c(=O)c2c(ncn2CC(=O)Nc2cccc3ccccc23)n(C)c1=O,*n1cnc2c1c(=O)n(C)c(=O)n2C *CC(=O)Nc1cccc2ccccc12,2,19,0,5,3,0,20,10,0,0,0,1,3,1.2256,102.79270000000004,0.599715197635,2.168047621757049,90.92,-7.3,0
91,Cn1c(CNC(=O)c2ccccc2)cc(=O)n(C)c1=O,*c1cc(=O)n(C)c(=O)n1C *CNC(*)=O *c1ccccc1,3,14,0,3,3,0,14,7,0,0,0,0,2,0.0139999999999999,74.53620000000002,0.880517324349,1.9756746765103177,73.1,-6.0,0
92,CNC(=O)NCCS(=O)(=O)NCc1ccccc1,*C(=O)NC *NCCS(=O)(=O)NCc1ccccc1,2,11,0,3,3,1,12,6,0,0,0,0,1,0.035,69.52690000000003,0.701327835318,2.00121327214576,87.30000000000001,-6.2,0
93,CC1CCc2cc(F)ccc2N1C(=O)CN1CC(NC(=O)Nc2ccc(C(N)=O)cc2F)NC1=O,*N1CCN(CC(=O)N2c3ccc(F)cc3CCC2C)C1=O *NC(=O)Nc1ccc(C(N)=O)cc1F,2,23,2,6,4,0,28,10,0,0,0,1,3,1.9043999999999996,122.63400000000006,0.5131071054149777,3.678269741409891,136.87,-8.7,0
94,CN(CNC(=O)CN1CCn2c(nn(C)c2=O)C1)C(=O)c1cc([N+](=O)[O-])ccc1Cl,*N(C)C(=O)CN1CCn2c(nn(C)c2=O)C1 *N(C)C(=O)c1cc([N+](=O)[O-])ccc1Cl,2,17,0,7,5,1,24,8,0,0,0,1,2,-0.19509999999999783,105.95460000000001,0.37534979911322897,3.0105019877100485,135.61,-7.4,0
95,O=C1Cc2ccccc2CN1c1ccncc1-n1nc2n(c(=O)c1=O)CCN2c1ccc(F)cc1,*c1cc(N2Cc3ccccc3CC2=O)ccn1 *n1nc2n(c(=O)c1=O)CCN2c1ccc(F)cc1,2,25,1,6,3,0,27,13,0,0,0,1,5,2.1693,126.63100000000007,0.4263389819986896,2.9539692036880325,93.33,-8.4,0
96,O=C(c1n[nH]c(=O)c2ccccc12)N1CC=C(n2nc(-n3cncn3)ccc2=O)C1,*C1C=CCN1C(=O)c1n[nH]c(=O)c2ccccc12 *n1nc(-n2cncn2)ccc1=O,2,19,0,8,3,0,22,12,0,0,0,2,3,0.057399999999999896,105.9542,0.5123392715558945,3.069874563242169,131.66,-7.6,0
90,CCC(=O)Nc1ccc(C(=O)NC)cc1,*C(=O)CC *Nc1ccc(*)cc1 *C(=O)NC,3,11,0,2,2,0,10,5,0,0,0,0,1,1.3947,58.752900000000025,0.7931133910160001,1.4918254264962236,58.2,-5.8,0
97,CC(C(=O)NC1CCN(S(C)(=O)=O)CC1)C(=O)NC1[NH+]=c2ccccc2=[NH+]1,*CCC(=O)NC1[NH+]=c2ccccc2=[NH+]1 *C(=O)NC1CCN(S(C)(=O)=O)CC1,2,17,0,5,4,1,21,8,0,0,0,1,2,-5.323299999999997,94.49960000000004,0.3718971007593878,4.223817340449688,123.52000000000001,-7.3,0
99,CC[NH2+]n1nnc(C(c2cc3cccc(C)c3[nH]c2=O)N2CCc3ccccc32)n1,*n1nnnc1C(c1cc2cccc(C)c2[nH]c1=O)N1CCc2ccccc21 *[NH2+]CC,2,22,0,7,1,0,24,10,0,0,0,2,3,1.3215199999999998,114.3221,0.4910384580518351,3.8494911620129866,96.31,-8.4,0
